opentime,initial_value,value,leverage,SL,TP,close_time,close_cause
1515568499999.0,506.74512302748735,405.3960984219899,5,0.8,1.2,1515572099999.0,SL
1515668399999.0,501.668550384998,401.33484030799843,5,0.8,1.2,1515671099999.0,SL
1515982499999.0,496.64283484724103,397.3142678777929,5,0.8,1.2,1516016699999.0,SL
1515996899999.0,471.8057266765305,377.4445813412244,5,0.8,1.2,1516017599999.0,SL
1516007699999.0,448.2107222854372,358.5685778283498,5,0.8,1.2,1516059899999.0,SL
1516266899999.0,482.4507421420403,578.9408905704483,5,0.8,1.2,1516268699999.0,TP
1516311899999.0,487.2646356471337,389.81170851770696,5,0.8,1.2,1516313699999.0,SL
1516322699999.0,482.38321852722066,578.8598622326648,5,0.8,1.2,1516324499999.0,TP
1516372199999.0,487.19643828168523,389.75715062534823,5,0.8,1.2,1516373999999.0,SL
1516618799999.0,482.31570436297926,385.85256349038343,5,0.8,1.2,1516624199999.0,SL
1516754699999.0,477.48386563667094,572.9806387640051,5,0.8,1.2,1516793399999.0,TP
1516823999999.0,482.24819964799366,578.6978395775924,5,0.8,1.2,1516843799999.0,TP
1516902299999.0,487.0600721840813,389.64805774726506,5,0.8,1.2,1516954499999.0,SL
1516922099999.0,462.7021979741554,370.16175837932434,5,0.8,1.2,1516955399999.0,SL
1516962599999.0,477.54535376163614,573.0544245139633,5,0.8,1.2,1516979699999.0,TP
1517043599999.0,482.31030130146974,578.7723615617637,5,0.8,1.2,1517073299999.0,TP
1517316299999.0,487.1227934878558,389.6982347902847,5,0.8,1.2,1517326199999.0,SL
1517579999999.0,482.2427973426944,578.6913568112333,5,0.8,1.2,1517580899999.0,TP
1517640299999.0,487.0546159745798,584.4655391694957,5,0.8,1.2,1517647499999.0,TP
1517854499999.0,491.9144469327742,393.53155754621935,5,0.8,1.2,1517858999999.0,SL
1517911199999.0,486.9864480034016,389.5891584027213,5,0.8,1.2,1517912099999.0,SL
1517919299999.0,482.1078177673036,578.5293813207643,5,0.8,1.2,1517921999999.0,TP
1517978699999.0,486.91828957298577,584.3019474875829,5,0.8,1.2,1517979599999.0,TP
1518035399999.0,491.77676026634504,393.42140821307606,5,0.8,1.2,1518044399999.0,SL
1518176699999.0,486.8501406819967,584.220168818396,5,0.8,1.2,1518198299999.0,TP
1518685199999.0,491.7079313857216,393.3663451085773,5,0.8,1.2,1518690599999.0,SL
1518814799999.0,486.78200132909956,584.1384015949194,5,0.8,1.2,1518873299999.0,TP
1518893999999.0,491.63911213836127,393.31128971068904,5,0.8,1.2,1518932699999.0,SL
1518955199999.0,486.71387151295926,389.37109721036745,5,0.8,1.2,1519167599999.0,SL
1519203599999.0,481.83797194814247,385.470377558514,5,0.8,1.2,1519226999999.0,SL
1519317899999.0,477.01091914516604,572.4131029741992,5,0.8,1.2,1519378199999.0,TP
1519374599999.0,453.1556030787163,543.7867236944595,5,0.8,1.2,1519387199999.0,TP
1519515899999.0,486.2921207039159,583.5505448446991,5,0.8,1.2,1519650899999.0,TP
1519527599999.0,461.97265174751305,554.3671820970156,5,0.8,1.2,1519651799999.0,TP
1519662599999.0,495.75390660343623,396.60312528274903,5,0.8,1.2,1519860599999.0,SL
1519707599999.0,470.9612537341984,376.76900298735876,5,0.8,1.2,1520018999999.0,SL
1519987499999.0,467.23467166783576,373.7877373342686,5,0.8,1.2,1520333099999.0,SL
1520266499999.0,462.70294819706544,370.1623585576524,5,0.8,1.2,1520357399999.0,SL
1520417699999.0,476.7532390513673,381.4025912410939,5,0.8,1.2,1520441099999.0,SL
1520423999999.0,452.9108095664085,362.32864765312684,5,0.8,1.2,1520441999999.0,SL
1520643599999.0,467.43986461231447,373.9518916898516,5,0.8,1.2,1520714699999.0,SL
1520679599999.0,444.06319698305265,355.25055758644214,5,0.8,1.2,1520715599999.0,SL
1520723699999.0,458.30842694125204,366.6467415530017,5,0.8,1.2,1520729999999.0,SL
1520750699999.0,453.7170931201546,544.4605117441855,5,0.8,1.2,1520774099999.0,TP
1520782199999.0,458.24428227530746,366.59542582024596,5,0.8,1.2,1520870399999.0,SL
1521099899999.0,453.65359105547344,544.3843092665682,5,0.8,1.2,1521104399999.0,TP
1521360899999.0,458.180146587025,366.54411726962,5,0.8,1.2,1521371699999.0,SL
1521476999999.0,430.9060570836116,344.7248456668893,5,0.8,1.2,1521479699999.0,SL
1521428399999.0,453.59009787851613,362.87207830281295,5,0.8,1.2,1521533699999.0,SL
1521623699999.0,444.7292153981056,355.7833723184845,5,0.8,1.2,1521653399999.0,SL
1521726299999.0,440.27391811824737,352.21913449459794,5,0.8,1.2,1521773099999.0,SL
1521831599999.0,435.8632540065388,523.0359048078466,5,0.8,1.2,1521850499999.0,TP
1522018799999.0,418.1972805542897,334.5578244434318,5,0.8,1.2,1522054799999.0,SL
1521945899999.0,440.212297555016,352.1698380440128,5,0.8,1.2,1522057499999.0,SL
1522103399999.0,431.6127504015171,345.29020032121366,5,0.8,1.2,1522116899999.0,SL
1522398599999.0,427.2888538679947,341.8310830943958,5,0.8,1.2,1522407599999.0,SL
1522409399999.0,423.00827412994505,338.40661930395606,5,0.8,1.2,1522422899999.0,SL
1522769399999.0,418.7705772397112,502.52469268765344,5,0.8,1.2,1522784699999.0,TP
1522848599999.0,422.94907005940905,338.35925604752725,5,0.8,1.2,1522891799999.0,SL
1522859399999.0,401.797387065738,482.1568644788856,5,0.8,1.2,1522901699999.0,TP
1523022299999.0,383.4464668315951,460.1357601979141,5,0.8,1.2,1523065499999.0,TP
1522961999999.0,403.6321085817694,484.35853029812324,5,0.8,1.2,1523117699999.0,TP
1522882799999.0,381.70349973858043,458.0441996862965,5,0.8,1.2,1523118599999.0,TP
1523162699999.0,434.3832081495619,521.2598497794743,5,0.8,1.2,1523234699999.0,TP
1523363399999.0,416.7772224356163,500.13266692273953,5,0.8,1.2,1523382299999.0,TP
1523272499999.0,438.71748380047825,526.4609805605738,5,0.8,1.2,1523454299999.0,TP
1523471399999.0,447.2536099793019,536.7043319751623,5,0.8,1.2,1523501999999.0,TP
1523481299999.0,424.88645694423707,509.86374833308446,5,0.8,1.2,1523502899999.0,TP
1523505599999.0,455.955823567065,364.764658853652,5,0.8,1.2,1523516399999.0,SL
1523704499999.0,451.3880581265701,541.6656697518841,5,0.8,1.2,1523757599999.0,TP
1523754899999.0,428.8141413396604,514.5769696075924,5,0.8,1.2,1523835899999.0,TP
1523810699999.0,434.44701296216067,347.55761036972854,5,0.8,1.2,1523882699999.0,SL
1524041099999.0,455.8184254969892,546.9821105963871,5,0.8,1.2,1524106799999.0,TP
1524061799999.0,411.3674685065302,493.6409622078362,5,0.8,1.2,1524106799999.0,TP
1524053699999.0,433.0229460378848,519.6275352454618,5,0.8,1.2,1524143699999.0,TP
1524140099999.0,442.8157288160017,531.378874579202,5,0.8,1.2,1524158099999.0,TP
1524360599999.0,473.21032464504844,567.8523895740581,5,0.8,1.2,1524384899999.0,TP
1524374999999.0,449.5450763095496,539.4540915714595,5,0.8,1.2,1524397499999.0,TP
1524392999999.0,455.45026799811615,546.5403215977393,5,0.8,1.2,1524486599999.0,TP
1524607199999.0,439.47400765043824,351.5792061203506,5,0.8,1.2,1524617099999.0,SL
1524572099999.0,486.9620608098586,389.5696486478869,5,0.8,1.2,1524628799999.0,SL
1524589199999.0,462.60908814875756,370.0872705190061,5,0.8,1.2,1524631499999.0,SL
1524751199999.0,473.04660643094917,567.655927717139,5,0.8,1.2,1524782699999.0,TP
1524972599999.0,453.8735545297666,363.0988436238133,5,0.8,1.2,1525129199999.0,SL
1524910499999.0,477.76666546991714,382.21333237593376,5,0.8,1.2,1525134599999.0,SL
1525122899999.0,431.1753380677329,344.94027045418636,5,0.8,1.2,1525138199999.0,SL
1525242599999.0,464.1139792091976,556.9367750510371,5,0.8,1.2,1525316399999.0,TP
1525263299999.0,440.9036391089457,529.0843669307349,5,0.8,1.2,1525317299999.0,TP
1525387499999.0,473.1442450047761,567.7730940057313,5,0.8,1.2,1525423499999.0,TP
1525445099999.0,477.86527828143375,573.4383339377205,5,0.8,1.2,1525523399999.0,TP
1525535999999.0,459.9305165700398,367.94441325603185,5,0.8,1.2,1525587299999.0,SL
1525496399999.0,453.96723571457926,363.1737885716634,5,0.8,1.2,1525588199999.0,SL
1525574699999.0,436.92939143637216,349.54351314909775,5,0.8,1.2,1525589099999.0,SL
1525615199999.0,469.10083170232906,375.28066536186327,5,0.8,1.2,1525661099999.0,SL
1525636799999.0,423.3545877424597,338.6836701939678,5,0.8,1.2,1525661099999.0,SL
1525619699999.0,445.64109910889556,356.51287928711645,5,0.8,1.2,1525679099999.0,SL
1525744799999.0,455.6957807794583,364.5566246235667,5,0.8,1.2,1525779899999.0,SL
1525805099999.0,451.13062044760966,541.3567445371316,5,0.8,1.2,1525930199999.0,TP
1526151599999.0,455.63200177843595,546.7584021341231,5,0.8,1.2,1526203799999.0,TP
1526192099999.0,432.8458453694964,519.4150144433956,5,0.8,1.2,1526223599999.0,TP
1526273099999.0,464.49723373727795,557.3966804847336,5,0.8,1.2,1526306399999.0,TP
1526383799999.0,445.6706964588617,356.53655716708937,5,0.8,1.2,1526423399999.0,SL
1526338799999.0,469.1319871355085,375.30558970840684,5,0.8,1.2,1526434199999.0,SL
1526667299999.0,459.9674938512601,551.9609926215121,5,0.8,1.2,1526731199999.0,TP
1526921099999.0,464.5570495049079,371.6456396039264,5,0.8,1.2,1527017399999.0,SL
1526994899999.0,441.3245514591675,353.059641167334,5,0.8,1.2,1527026399999.0,SL
1527047099999.0,455.4819276264499,364.3855421011599,5,0.8,1.2,1527065099999.0,SL
1527374699999.0,428.3684550026169,342.6947640020935,5,0.8,1.2,1527411599999.0,SL
1527318899999.0,450.91890967548807,360.73512774039045,5,0.8,1.2,1527427799999.0,SL
1527687899999.0,442.11020885614283,353.6881670849143,5,0.8,1.2,1527700499999.0,SL
1527996599999.0,437.681148783822,525.2173785405863,5,0.8,1.2,1528015499999.0,TP
1528298999999.0,419.94149423875473,335.9531953910038,5,0.8,1.2,1528590599999.0,SL
1528362899999.0,378.98921970407974,303.1913757632638,5,0.8,1.2,1528590599999.0,SL
1528521299999.0,308.67609090152763,246.94087272122212,5,0.8,1.2,1528590599999.0,SL
1528217999999.0,442.04833128638694,353.6386650291096,5,0.8,1.2,1528592399999.0,SL
1528446599999.0,342.0305700256565,273.6244560205252,5,0.8,1.2,1528592399999.0,SL
1528401599999.0,360.03596882667875,288.028775061343,5,0.8,1.2,1528603199999.0,SL
1528340399999.0,398.9402201118746,319.15217608949973,5,0.8,1.2,1528616699999.0,SL
1528492499999.0,324.9256212186735,259.9404969749388,5,0.8,1.2,1528651799999.0,SL
1528636499999.0,399.2444701041798,319.3955760833439,5,0.8,1.2,1528652699999.0,SL
1528759799999.0,408.2392644464534,326.5914115571627,5,0.8,1.2,1528830899999.0,SL
1528836299999.0,404.1495234952288,323.319618796183,5,0.8,1.2,1528882199999.0,SL
1528889399999.0,380.09171488287524,304.0733719063002,5,0.8,1.2,1528907399999.0,SL
1528884899999.0,400.10075356885363,480.12090428262434,5,0.8,1.2,1528944299999.0,TP
1529054099999.0,400.285200088267,320.2281600706136,5,0.8,1.2,1529104499999.0,SL
1529143199999.0,396.27514295378273,475.53017154453926,5,0.8,1.2,1529342099999.0,TP
1529168399999.0,376.4574230546641,451.7489076655969,5,0.8,1.2,1529406899999.0,TP
1529373599999.0,381.4025406032119,457.68304872385426,5,0.8,1.2,1529414099999.0,TP
