timestamp,wallet_money,invest_money,all_money,nb_en_orders,nb_di_orders
1640612700000.0,10000,0,10000,0,0
1640613600000.0,10000,0,10000,0,0
1640614500000.0,10000,0,10000,0,0
1640615400000.0,10000,0,10000,0,0
1640616300000.0,10000,0,10000,0,0
1640617200000.0,10000,0,10000,0,0
1640618100000.0,10000,0,10000,0,0
1640619000000.0,10000,0,10000,0,0
1640619900000.0,10000,0,10000,0,0
1640620800000.0,10000,0,10000,0,0
1640621700000.0,10000,0,10000,0,0
1640622600000.0,10000,0,10000,0,0
1640623500000.0,10000,0,10000,0,0
1640624400000.0,10000,0,10000,0,0
1640625300000.0,10000,0,10000,0,0
1640626200000.0,10000,0,10000,0,0
1640627100000.0,10000,0,10000,0,0
1640628000000.0,10000,0,10000,0,0
1640628900000.0,10000,0,10000,0,0
1640629800000.0,10000,0,10000,0,0
1640630700000.0,10000,0,10000,0,0
1640631600000.0,10000,0,10000,0,0
1640632500000.0,10000,0,10000,0,0
1640633400000.0,10000,0,10000,0,0
1640634300000.0,10000,0,10000,0,0
1640635200000.0,10000,0,10000,0,0
1640636100000.0,10000,0,10000,0,0
1640637000000.0,10000,0,10000,0,0
1640637900000.0,10000,0,10000,0,0
1640638800000.0,10000,0,10000,0,0
1640639700000.0,10000,0,10000,0,0
1640640600000.0,10000,0,10000,0,0
1640641500000.0,10000,0,10000,0,0
1640642400000.0,10000,0,10000,0,0
1640643300000.0,10000,0,10000,0,0
1640644200000.0,10000,0,10000,0,0
1640645100000.0,10000,0,10000,0,0
1640646000000.0,10000,0,10000,0,0
1640646900000.0,10000,0,10000,0,0
1640647800000.0,10000,0,10000,0,0
1640648700000.0,10000,0,10000,0,0
1640649600000.0,10000,0,10000,0,0
1640650500000.0,10000,0,10000,0,0
1640651400000.0,10000,0,10000,0,0
1640652300000.0,10000,0,10000,0,0
1640653200000.0,10000,0,10000,0,0
1640654100000.0,10000,0,10000,0,0
1640655000000.0,10000,0,10000,0,0
1640655900000.0,10000,0,10000,0,0
1640656800000.0,10000,0,10000,0,0
1640657700000.0,10000,0,10000,0,0
1640658600000.0,10000,0,10000,0,0
1640659500000.0,10000,0,10000,0,0
1640660400000.0,10000,0,10000,0,0
1640661300000.0,10000,0,10000,0,0
1640662200000.0,10000,0,10000,0,0
1640663100000.0,10000,0,10000,0,0
1640664000000.0,10000,0,10000,0,0
1640664900000.0,10000,0,10000,0,0
1640665800000.0,10000,0,10000,0,0
1640666700000.0,10000,0,10000,0,0
1640667600000.0,10000,0,10000,0,0
1640668500000.0,10000,0,10000,0,0
1640669400000.0,10000,0,10000,0,0
1640670300000.0,10000,0,10000,0,0
1640671200000.0,10000,0,10000,0,0
1640672100000.0,10000,0,10000,0,0
