opentime,initial_value,value,leverage,SL,TP,close_time,close_cause
1661858099999.0,503.0806691319971,553.3887360451969,1,0.8,1.1,1662727499999.0,TP
1662324299999.0,477.9216048687059,525.7137653555766,1,0.8,1.1,1662847199999.0,TP
1662671699999.0,454.02074540922195,363.2165963273776,1,0.8,1.1,1663554599999.0,SL
1663996499999.0,503.41669962673706,553.7583695894108,1,0.8,1.1,1666718099999.0,TP
1664438399999.0,454.32400654617896,499.7564072007969,1,0.8,1.1,1666718099999.0,TP
1665307799999.0,410.0187837972346,451.0206621769581,1,0.8,1.1,1666718099999.0,TP
1664494199999.0,431.6032629788046,474.7635892766851,1,0.8,1.1,1666722599999.0,TP
1664051399999.0,478.24083047840395,526.0649135262444,1,0.8,1.1,1666723499999.0,TP
1669193999999.0,514.7568878686219,566.2325766554842,1,0.8,1.1,1669769999999.0,TP
1669298399999.0,489.0138959063122,537.9152854969435,1,0.8,1.1,1670939099999.0,TP
1670427899999.0,382.50186239772205,420.7520486374943,1,0.8,1.1,1673475299999.0,TP
1669551299999.0,464.5583109720375,511.01414206924125,1,0.8,1.1,1673479799999.0,TP
1670391899999.0,402.63777765841957,442.9015554242616,1,0.8,1.1,1673480699999.0,TP
1669812299999.0,469.63171634733357,516.594887982067,1,0.8,1.1,1673485199999.0,TP
1669958099999.0,423.8337010478211,466.21707115260324,1,0.8,1.1,1673485199999.0,TP
1669877099999.0,446.1454342128034,490.7599776340838,1,0.8,1.1,1673553599999.0,TP
1670681699999.0,363.372944259212,399.7102386851332,1,0.8,1.1,1673646299999.0,TP
1675112399999.0,534.4560650188295,587.9016715207125,1,0.8,1.1,1675362599999.0,TP
1678320899999.0,415.58911622570196,457.1480278482722,1,0.8,1.1,1678720499999.0,TP
1678296599999.0,437.4668325200286,481.21351577203154,1,0.8,1.1,1678797899999.0,TP
1677091499999.0,460.4962499816088,506.54587497976974,1,0.8,1.1,1678805999999.0,TP
1675889999999.0,537.1171217665582,590.828833943214,1,0.8,1.1,1679101199999.0,TP
1676965499999.0,484.7379972227169,533.2117969449886,1,0.8,1.1,1680606899999.0,TP
1676906999999.0,510.25589450701256,561.2814839577138,1,0.8,1.1,1680655499999.0,TP
1678851899999.0,467.03642637907234,513.7400690169796,1,0.8,1.1,1680659099999.0,TP
1679342399999.0,473.2154681046762,520.5370149151438,1,0.8,1.1,1680699599999.0,TP
1680162299999.0,427.06796891789776,469.77476580968755,1,0.8,1.1,1681377299999.0,TP
